[2025-05-12 20:50:38.924] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:50:38.924] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:52:37.466] [DEBUG] Received input from stdin | Data: {"raw_input": "{\"mode\":\"text-to-video\",\"prompt\":\"A cute little cat and a small dog playing together on a sunny grassy field, chasing each other happily, in a vibrant animated style.\",\"duration\":\"10\"}"}
[2025-05-12 20:52:37.468] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:52:37.468] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:54:24.396] [DEBUG] Received input from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a playful puppy playing together on a sunny grassy field, chasing each other, rolling around, and having fun, in a vibrant cartoon style.\",\"mode\":\"text-to-video\"}"}
[2025-05-12 20:54:24.396] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:54:24.396] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:56:04.947] [DEBUG] Received input from stdin | Data: {"raw_input": "{\"prompt\":\"An animated scene of a cute kitten and a playful puppy frolicking on a lush green lawn under a sunny sky, cartoon style, vibrant colors, cheerful atmosphere.\",\"mode\":\"text-to-video\",\"style\":\"animation\"}"}
[2025-05-12 20:56:04.947] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:56:04.947] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:58:45.764] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a puppy playing together on a grassy field under a sunny sky, with cheerful and playful movements.\",\"style\":\"animation\"}"}
[2025-05-12 20:58:45.764] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "An animated video of a cute kitten and a puppy playing together on a grassy field under a sunny sky, with cheerful and playful movements.", "style": "animation"}}
[2025-05-12 20:58:45.764] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 20:58:45.764] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:00:34.016] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a playful puppy frolicking together on a sunny grassy field, with colorful flowers around, cheerful and lively atmosphere.\",\"style\":\"animation\",\"duration\":\"5\"}"}
[2025-05-12 21:00:34.016] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "An animated video of a cute kitten and a playful puppy frolicking together on a sunny grassy field, with colorful flowers around, cheerful and lively atmosphere.", "style": "animation", "duration": "5"}}
[2025-05-12 21:00:34.016] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:00:34.017] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:03:30.099] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a small puppy playing together on a sunny grassy field, chasing each other and rolling around happily, cartoon style.\",\"mode\":\"text-to-video\",\"duration\":\"5\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:03:30.099] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "An animated video of a cute kitten and a small puppy playing together on a sunny grassy field, chasing each other and rolling around happily, cartoon style.", "mode": "text-to-video", "duration": "5", "resolution": "1280x720"}}
[2025-05-12 21:03:30.099] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:03:30.099] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:05:12.912] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a playful puppy frolicking together on a lush green lawn under a bright sunny sky, with colorful flowers around, cartoon style, vibrant colors, cheerful atmosphere.\",\"mode\":\"text-to-video\",\"style\":\"animation\"}"}
[2025-05-12 21:05:12.912] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "An animated video of a cute kitten and a playful puppy frolicking together on a lush green lawn under a bright sunny sky, with colorful flowers around, cartoon style, vibrant colors, cheerful atmosphere.", "mode": "text-to-video", "style": "animation"}}
[2025-05-12 21:05:12.912] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:05:12.913] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:06:25.433] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"An animated video of a cute kitten and a puppy playing together on a grassy field under a sunny sky, chasing each other and rolling in the grass, cartoon style.\",\"mode\":\"text-to-video\",\"style\":\"animation\"}"}
[2025-05-12 21:06:25.433] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "An animated video of a cute kitten and a puppy playing together on a grassy field under a sunny sky, chasing each other and rolling in the grass, cartoon style.", "mode": "text-to-video", "style": "animation"}}
[2025-05-12 21:06:25.433] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:06:25.434] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:07:00.791] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"text2video\",\"prompt\":\"An animated video of a cute kitten and a puppy playing together on a sunny grassland, chasing each other, rolling around, with vibrant cartoon-style visuals and cheerful background music.\",\"resolution\":\"1280x720\",\"duration\":\"10\"}"}
[2025-05-12 21:07:00.791] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "text2video", "prompt": "An animated video of a cute kitten and a puppy playing together on a sunny grassland, chasing each other, rolling around, with vibrant cartoon-style visuals and cheerful background music.", "resolution": "1280x720", "duration": "10"}}
